Trinity_ID	SA23	SA31	SA80	SA4_S2	SA5_S3	SA7_S6	SA9_S7	SA11_S9
TRINITY_DN2563_c0_g1_i1	1.1628414808529	1.29275356310466	0.611106053573586	-1.96032806230292	1.38023420672349	-1.96032806230292	-1.96032806230292	1.43404888265413
TRINITY_DN7590_c0_g1_i9	-1.11155040521779	-1.11155040521779	-1.11155040521779	1.23611525108318	-1.11155040521779	2.60313472395197	1.71850205105378	-1.11155040521779
TRINITY_DN1672_c1_g1_i9	-0.825331006074973	-0.825331006074973	-0.825331006074973	0.852740899037665	-0.825331006074973	1.23609959442277	2.03781453691443	-0.825331006074973
TRINITY_DN4410_c0_g1_i24	-1.11090698160133	-1.11090698160133	-1.11090698160133	2.15002195835555	-1.11090698160133	2.02413530463232	1.34616192968085	-1.07669126626341
TRINITY_DN277_c0_g1_i33	-0.493354915054995	-0.493354915054995	-0.493354915054995	0.565307924323565	-0.493354915054995	1.06197044393425	0.839496207017159	-0.493354915054995
TRINITY_DN9415_c0_g1_i24	-0.690555055770058	-0.690555055770058	-0.690555055770058	1.05919372309444	-0.690555055770058	1.75702414077882	0.636557414977027	-0.690555055770058
TRINITY_DN10801_c0_g1_i1	-1.27883862335525	-1.27883862335525	-1.27883862335525	1.42536937159906	-1.27883862335525	1.97922797495608	2.98959577022113	-1.27883862335525
TRINITY_DN4563_c0_g1_i5	-1.61317188734053	-1.61317188734053	-1.61317188734053	1.43157193388387	-1.61317188734053	0.678431670690033	5.95585583212876	-1.61317188734053
TRINITY_DN5871_c0_g1_i18	-0.742248862324567	-0.742248862324567	-0.742248862324567	1.25413988412305	-0.742248862324567	0.948391716291127	1.50871271120865	-0.742248862324567
TRINITY_DN3176_c0_g1_i18	1.17139548984951	1.73394130198771	1.62585802286531	-1.88206344209201	0.310446376849933	-1.88206344209201	-1.88206344209201	0.804549134723576
TRINITY_DN4410_c0_g1_i40	0.998458590172063	1.98570892384463	0.76681394674441	-1.86429033562147	1.7464097265133	-1.86429033562147	-1.86429033562147	0.0954798195900002
TRINITY_DN7992_c0_g1_i8	-0.425360313110469	-0.425360313110469	-0.425360313110469	1.38323067502951	-0.425360313110469	0.517248023001195	0.226322867521641	-0.425360313110469
TRINITY_DN6934_c0_g1_i17	-0.519607928862762	-0.519607928862762	-0.519607928862762	1.1687962595347	-0.519607928862762	0.549406749052419	0.879836635726696	-0.519607928862762
TRINITY_DN5644_c0_g1_i12	-0.412431641970136	-0.412431641970136	-0.412431641970136	0.335170588304807	-0.412431641970136	0.533924929663498	1.19306269188237	-0.412431641970136
TRINITY_DN1244_c0_g1_i60	-0.578926212535252	-0.578926212535252	-0.578926212535252	0.878930697878517	-0.578926212535252	0.603766084980938	1.39045455240636	-0.557446485124801
TRINITY_DN4433_c0_g1_i16	-0.445306240819068	-0.445306240819068	-0.445306240819068	1.14685176130629	-0.445306240819068	0.585382963252072	0.494296479536976	-0.445306240819068
TRINITY_DN5489_c0_g1_i1	-1.04903864510445	-1.04903864510445	-1.04903864510445	2.1240887883762	-1.04903864510445	1.47125787288543	1.64984656426064	-1.04903864510445
TRINITY_DN4501_c0_g1_i20	-1.17516235120451	-1.17516235120451	-1.17516235120451	1.77810288781034	-1.17516235120451	1.51659512383678	2.58111374437542	-1.17516235120451
TRINITY_DN3165_c0_g1_i1	-1.33367792959957	-1.33367792959957	-1.33367792959957	3.6147360281933	-1.33367792959957	2.91120912952397	0.142444490280583	-1.33367792959957
